2009,St. Louis Cardinals,400000,14427326,14027326
2008,Philadelphia Phillies,390000,14250000,13860000
2009,Toronto Blue Jays,400000,14250000,13850000
2006,Chicago White Sox,327000,14166667,13839667
2014,Atlanta Braves,500000,14250000,13750000
2004,Texas Rangers,300000,14000000,13700000
2004,Chicago White Sox,301000,14000000,13699000
2006,St. Louis Cardinals,327000,14000000,13673000
2006,Los Angeles Angels of Anaheim,327000,14000000,13673000
2009,Chicago White Sox,400000,14000000,13600000
2009,Boston Red Sox,400000,14000000,13600000
2009,Cincinnati Reds,400000,14000000,13600000
2012,Atlanta Braves,480000,14000000,13520000
2012,Toronto Blue Jays,481700,14000000,13518300
2013,Toronto Blue Jays,494200,14000000,13505800
2014,Tampa Bay Rays,500000,14000000,13500000
2015,Cincinnati Reds,507500,14000000,13492500
2015,Milwaukee Brewers,507500,14000000,13492500
2008,St. Louis Cardinals,390000,13870949,13480949
2001,Toronto Blue Jays,200000,13650000,13450000
2007,Baltimore Orioles,380000,13811415,13431415
2001,New York Mets,205000,13571429,13366429
2006,Philadelphia Phillies,330000,13600000,13270000
2016,Pittsburgh Pirates,510000,13666667,13156667
2001,Arizona Diamondbacks,200000,13350000,13150000
2002,Arizona Diamondbacks,215000,13350000,13135000
2000,Arizona Diamondbacks,215000,13350000,13135000
2009,Oakland Athletics,400000,13500000,13100000
2012,Washington Nationals,481000,13571428,13090428
2005,Los Angeles Dodgers,316000,13400000,13084000
2012,Milwaukee Brewers,481000,13500000,13019000
2014,Kansas City Royals,500500,13500000,12999500
2001,Anaheim Angels,200000,13166667,12966667
2002,Atlanta Braves,200000,13100000,12900000
2007,Philadelphia Phillies,380000,13250000,12870000
2007,Chicago Cubs,383000,13250000,12867000
2005,Philadelphia Phillies,316000,13166667,12850667
2001,Boston Red Sox,200000,13050000,12850000
2007,Detroit Tigers,380000,13200000,12820000
2015,Baltimore Orioles,514000,13333333,12819333
2007,Toronto Blue Jays,381500,13200000,12818500
2008,Toronto Blue Jays,392100,13200000,12807900
2010,Texas Rangers,401000,13174974,12773974
2003,Baltimore Orioles,300000,13000000,12700000
2003,Houston Astros,300000,13000000,12700000
2006,Seattle Mariners,327500,13000000,12672500
2000,Baltimore Orioles,200000,12868670,12668670
2013,Atlanta Braves,490000,13146942,12656942
2009,Texas Rangers,400000,13054526,12654526
2007,Minnesota Twins,380000,13000000,12620000
2008,Cincinnati Reds,390000,13000000,12610000
2011,Los Angeles Dodgers,414000,13000000,12586000
2011,Cleveland Indians,414100,13000000,12585900
2007,St. Louis Cardinals,382000,12937813,12555813
2014,Pittsburgh Pirates,500000,13000000,12500000
2013,Kansas City Royals,503175,13000000,12496825
2015,Oakland Athletics,507500,13000000,12492500
2016,Philadelphia Phillies,507500,13000000,12492500
2007,Oakland Athletics,380000,12858194,12478194
2002,Colorado Rockies,206000,12666667,12460667
2006,Toronto Blue Jays,327000,12750000,12423000
2001,New York Yankees,200000,12600000,12400000
2004,Colorado Rockies,300000,12666667,12366667
2003,Colorado Rockies,300000,12666667,12366667
2009,Milwaukee Brewers,400000,12750000,12350000
2010,Milwaukee Brewers,400000,12750000,12350000
2005,St. Louis Cardinals,320000,12666667,12346667
2001,Atlanta Braves,200000,12500000,12300000
2001,Cincinnati Reds,200000,12500000,12300000
2001,Chicago Cubs,200000,12500000,12300000
2005,Colorado Rockies,316000,12600000,12284000
2004,Cincinnati Reds,300000,12500000,12200000
2004,St. Louis Cardinals,300000,12500000,12200000
2003,Cincinnati Reds,308000,12500000,12192000
2005,Los Angeles Angels of Anaheim,316000,12500000,12184000
2005,Cincinnati Reds,316000,12500000,12184000
2005,Seattle Mariners,316000,12500000,12184000
2002,Baltimore Orioles,200000,12368790,12168790
2000,New York Yankees,200000,12357143,12157143
2010,Cincinnati Reds,400000,12500000,12100000
2010,Oakland Athletics,400000,12500000,12100000
2016,Tampa Bay Rays,510000,12600018,12090018
2012,Cincinnati Reds,480000,12500000,12020000
2010,Kansas City Royals,400500,12400000,11999500
2016,Miami Marlins,507500,12500000,11992500
2015,Kansas City Royals,509525,12500000,11990475
2001,Colorado Rockies,203000,12166667,11963667
2002,New York Mets,212500,12166667,11954167
2000,Colorado Rockies,222500,12142857,11920357
2012,Baltimore Orioles,480000,12350000,11870000
2004,Philadelphia Phillies,300000,12166667,11866667
2000,New York Mets,210000,12071429,11861429
2016,Atlanta Braves,507500,12359375,11851875
2001,Baltimore Orioles,200000,12049040,11849040
1999,Baltimore Orioles,200000,11949794,11749794
2008,Milwaukee Brewers,392000,12125000,11733000
2011,Cincinnati Reds,414000,12125000,11711000
2006,Chicago Cubs,327000,12000000,11673000
2008,Kansas City Royals,390000,12000000,11610000
2010,Baltimore Orioles,400000,12000000,11600000
2010,Washington Nationals,400000,12000000,11600000
2009,Kansas City Royals,405000,12000000,11595000
2003,Detroit Tigers,300000,11850000,11550000
2014,Houston Astros,500000,12000000,11500000
